ASV.ID,5m Dec2014,25m Dec2014,45m Dec2014,75m Dec2014,100m Dec2014,125m Dec2014,155m Dec2014,175m Dec2014,300m Dec2014,400m Dec2014,500m Dec2014,770m Dec2014,5m Apr2015,25m Apr2015,75m Apr2015,100m Apr2015,125m Apr2015,150m Apr2015,175m Apr2015,300m Apr2015,400m Apr2015,500m Apr2015,770m Apr2015,5m Aug2015,25m Aug2015,45m Aug2015,75m Aug2015,100m Aug2015,125m Aug2015,150m Aug2015,175m Aug2015,300m Aug2015,400m Aug2015,500m Aug2015,770m Aug2015,5m Dec2015,25m Dec2015,45m Dec2015,75m Dec2015,100m Dec2015,125m Dec2015,150m Dec2015,175m Dec2015,300m Dec2015,400m Dec2015,500m Dec2015,770m Dec2015,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Taxa
000949c395731ac9423ab80d96aaf7a0,0,0,0,0,0,0,0,0,0,0,0,763.4303937,0,0,0,0,0,0,0,0,373.7964725,435.5430685,385.566646,0,0,0,0,0,0,0,0,0,678.8699046,0,330.2115402,0,0,0,0,0,0,0,0,0,768.6867039,782.6193697,162.2837421,Eukaryota,Rhizaria,Radiolaria,RAD-B,RAD-B_X,RAD-B-Group-I,RAD-B-Group-I_X,RAD-B-Group-I_X_sp.;,Rhizaria-Radiolaria
0014fd960e0e2c4bc992798571bffc7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.9378092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-20,Dino-Group-II-Clade-20_X,Dino-Group-II-Clade-20_X_sp.;,Alveolates-Syndiniales
001d5aa419581123f60e2c3c878be9ec,0,0,0,25.91541711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.9515733,206.6094251,173.4132583,154.1127457,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Chlorarachnea,Chlorarachnida,Chlorarachnida_X,Chlorarachnida_XX,Chlorarachnida_XX_sp.;,Rhizaria-Cercozoa
0020e27a1b6600f49cb9adcacd5c5caa,0,0,0,0,0,0,0,0,1870.701423,0,297.0264673,323.3352256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Leegaardiellidae_B,Leegaardiella,Leegaardiella_sp.;,Alveolates-Ciliates
00286055990af773b147d1480200978d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.5918825,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-6,Dino-Group-I-Clade-6_X,Dino-Group-I-Clade-6_X_sp.;,Alveolates-Syndiniales
002bad0832f3699c258e518e4ce2e356,0,0,0,0,0,0,0,0,0,1057.213135,2153.441888,6978.651952,0,0,0,0,0,0,0,0,1931.281774,70.24888202,5666.15332,0,0,0,0,0,0,0,0,0,1422.394086,779.42954,8952.401758,0,0,0,0,0,0,0,0,0,975.6408164,1173.929055,7169.990789,Eukaryota,Rhizaria,Radiolaria,RAD-C,RAD-C_X,RAD-C_XX,RAD-C_XXX,RAD-C_XXX_sp.;,Rhizaria-Radiolaria
003346fa8f3c661b9cc5fb3a52739444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.9586298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.;,Alveolates-Dinophyceae
0038d7251cd9a4c4db2c49aab8bd91be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.2172923,282.7692581,593.8134275,0,0,0,0,0,0,0,0,0,0,216.4395112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Stramenopiles,Stramenopiles_X,MAST,MAST-3,MAST-3I,MAST-3I_X,MAST-3I_X_sp.;,Stramenopiles-MAST
004bd6f7c5464ffaae9bd4546d44e82e,0,0,0,0,0,3811.650477,1334.760666,0,0,0,0,0,0,0,0,0,9770.930035,4323.774468,2547.249806,0,0,0,0,0,0,0,0,0,14218.26046,7622.723748,3585.336598,0,0,0,0,0,0,0,0,0,6287.068269,4846.047494,0,0,0,0,0,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,XXX,XXX,XXX,XXX,Hacrobia-Haptophytes
004e02b1c4b1e59140f32bf55a152623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.497764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-II,Dino-Group-II_X,Dino-Group-II_XX,Dino-Group-II_XX_sp.;,Alveolates-Syndiniales
